PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family Size,Floor
1,0,3,0,22.0,1,0,7.25,0,0,1,8
2,1,1,1,38.0,1,0,71.2833,1,1,0,2
3,1,3,1,26.0,0,0,7.925,0,2,0,8
4,1,1,1,35.0,1,0,53.1,0,1,1,2
5,0,3,0,35.0,0,0,8.05,0,0,1,8
6,0,3,0,28.0,0,0,8.4583,2,0,2,8
7,0,1,0,54.0,0,0,51.8625,0,0,0,4
8,0,3,0,2.0,3,1,21.075,0,3,3,8
9,1,3,1,27.0,0,2,11.1333,0,1,5,8
10,1,2,1,14.0,1,0,30.0708,1,1,1,8
11,1,3,1,4.0,1,1,16.7,0,2,1,6
12,1,1,1,58.0,0,0,26.55,0,2,0,2
13,0,3,0,20.0,0,0,8.05,0,0,0,8
14,0,3,0,39.0,1,5,31.275,0,0,8,8
15,0,3,1,14.0,0,0,7.8542,0,2,0,8
16,1,2,1,55.0,0,0,16.0,0,1,0,8
17,0,3,0,2.0,4,1,29.125,2,3,4,8
18,1,2,0,28.0,0,0,13.0,0,0,3,8
19,0,3,1,31.0,1,0,18.0,0,1,2,8
20,1,3,1,28.0,0,0,7.225,1,1,0,8
21,0,2,0,35.0,0,0,26.0,0,0,0,8
22,1,2,0,34.0,0,0,13.0,0,0,0,3
23,1,3,1,15.0,0,0,8.0292,2,2,0,8
24,1,1,0,28.0,0,0,35.5,0,0,0,0
25,0,3,1,8.0,3,1,21.075,0,2,3,8
26,1,3,1,38.0,1,5,31.3875,0,1,3,8
27,0,3,0,28.0,0,0,7.225,1,0,0,8
28,0,1,0,19.0,3,2,263.0,0,0,3,2
29,1,3,1,28.0,0,0,7.8792,2,2,0,8
30,0,3,0,28.0,0,0,7.8958,0,0,0,8
31,0,1,0,40.0,0,0,27.7208,1,4,0,8
32,1,1,1,28.0,1,0,146.5208,1,1,0,1
33,1,3,1,28.0,0,0,7.75,2,2,0,8
34,0,2,0,66.0,0,0,10.5,0,0,0,8
35,0,1,0,28.0,1,0,82.1708,1,0,2,8
36,0,1,0,42.0,1,0,52.0,0,0,1,8
37,1,3,0,28.0,0,0,7.2292,1,0,0,8
38,0,3,0,21.0,0,0,8.05,0,0,0,8
39,0,3,1,18.0,2,0,18.0,0,2,2,8
40,1,3,1,14.0,1,0,11.2417,1,2,1,8
41,0,3,1,40.0,1,0,9.475,0,1,0,8
42,0,2,1,27.0,1,0,21.0,0,1,1,8
43,0,3,0,28.0,0,0,7.8958,1,0,0,8
44,1,2,1,3.0,1,2,41.5792,1,2,2,8
45,1,3,1,19.0,0,0,7.8792,2,2,0,8
46,0,3,0,28.0,0,0,8.05,0,0,0,8
47,0,3,0,28.0,1,0,15.5,2,0,0,8
48,1,3,1,28.0,0,0,7.75,2,2,0,8
49,0,3,0,28.0,2,0,21.6792,1,0,0,8
50,0,3,1,18.0,1,0,17.8,0,1,1,8
51,0,3,0,7.0,4,1,39.6875,0,3,5,8
52,0,3,0,21.0,0,0,7.8,0,0,0,8
53,1,1,1,49.0,1,0,76.7292,1,1,3,3
